kreiskey1878,county,rb,tax1878_cta,tax1878_cit,tax1878_total,tax1878_tlt,tax1878_tin
365,"Kreuznach","KOB",124561,51537,390550,46032,56740
366,"Simmern","KOB",47829,8642,136750,45309,50111
367,"Zell","KOB",39096,10275,113677,3600,5718
368,"Kochem","KOB",53795,5561,141053,28849,38942
369,"Mayen","KOB",97476,22601,286872,0,3057
370,"Adenau","KOB",17614,1095,52787,5507,9235
371,"Ahrweiler","KOB",52216,24845,164782,25095,30429
372,"Neuwied","KOB",109090,53865,319316,78492,82494
373,"Altenkirchen","KOB",81775,14615,184494,38718,42497
374,"Wetzlar","KOB",88300,26955,253226,38513,55114
375,"Meisenheim","KOB",24484,3168,63552,11749,12471
376,"Kleve","DUS",97482,57540,367867,50412,54281
377,"Rees","DUS",128359,81213,438603,63765,67441
378,"Landkreis Krefeld","DUS",53064,23942,164802,24208,25252
379,"Mühlheim a. d. Ruhr","DUS",237676,116431,630831,97858,103672
380,"Landkreis Essen","DUS",224909,58038,459370,49327,54863
381,"Mörs","DUS",129665,36999,385343,56216,60936
382,"Geldern","DUS",100048,20870,279803,42376,45007
383,"Kempen","DUS",149472,35334,367829,59513,62100
384,"Landkreis Düsseldorf","DUS",98543,41921,298594,44001,45639
385,"Mettmann","DUS",107143,26428,265151,43582,95360
386,"Lennep","DUS",148864,56945,381175,55614,58975
387,"Solingen","DUS",161878,36578,383823,59381,64461
388,"Neuss","DUS",87999,46303,306521,44654,54789
389,"Grevenbroich","DUS",75299,35862,287301,41718,45304
390,"Gladbach","DUS",193973,73965,518788,99878,105292
391,"Wipperfürth","KOL",37710,6549,93332,22251,24857
392,"Waldbröl","KOL",24315,2901,56008,19487,20736
393,"Gummersbach","KOL",43536,7197,104119,23896,26216
394,"Siegkreis","KOL",116450,34008,317365,5218,7149
395,"Mülheim am Rhein","KOL",93316,60008,290186,68155,71389
396,"Landkreis Köln","KOL",204296,116545,661535,127074,130330
397,"Kreis Bergheim","KOL",60347,44473,297825,56954,61075
398,"Euskirchen","KOL",69901,32865,272130,44772,47792
399,"Rheinbach","KOL",48351,16268,178516,30410,37129
400,"Bonn","KOL",135330,282710,669593,131778,139616
401,"Daun","TRI",18901,2052,76539,22764,26656
402,"Prüm","TRI",35016,5216,100867,35278,36305
403,"Bitburg","TRI",51743,7763,164679,58919,172710
404,"Wittlich","TRI",48280,4417,145283,26249,29108
405,"Bernkastel","TRI",71512,7076,175518,33459,36634
406,"Landkreis Trier","TRI",85260,6942,245596,73973,89439
407,"Kreis Saarburg","TRI",51221,8285,150880,46251,58244
408,"Merzig","TRI",47708,12303,140305,28093,31326
409,"Saarlouis","TRI",82393,31586,242454,45963,49265
410,"Saarbrücken","TRI",186854,92121,471049,89505,99353
411,"Ottweiler","TRI",92234,19632,209992,74993,160710
412,"Sanct Wendel","TRI",57837,6012,174542,42129,48393
413,"Erkelenz","AAC",55629,17219,215720,1446,11722
414,"Heinsberg","AAC",38175,6372,128209,3458,6302
415,"Geilenkirchen","AAC",34324,10911,140811,2409,3607
416,"Jülich","AAC",63932,31394,310429,51369,55904
417,"Düren","AAC",111337,94295,458286,81962,90080
418,"Landkreis Aachen","AAC",147214,58476,434434,85055,94064
419,"Eupen","AAC",40870,24584,146466,3017,9955
420,"Montjoie","AAC",24695,5091,58825,1810,4133
421,"Schleiden","AAC",57472,12444,147348,49198,51366
422,"Malmedy","AAC",38504,10012,106157,23534,24827
423,"Oberamtsbezirk Sigmaringen","SIG",45266,10629,95059,0,2187
424,"Oberamtsbezirk Gammertingen","SIG",22641,6071,40862,1920,2847
425,"Oberamtsbezirk Hechingen","SIG",31769,7871,59208,1681,2558
426,"Oberamtsbezirk Haigerloch","SIG",19099,5053,35803,1597,2219
