REGDIST,Industrial_Ratio_1831,is_treated_baseline,MANUFAC,FAMTRADE
73003,0.0,0,0,16
73003,0.03205128205128205,1,5,6
73003,0.0,0,0,19
73003,0.0,0,0,0
73003,0.0,0,0,7
73003,0.0,0,0,18
73003,0.0,0,0,7
74001,0.0,0,0,0
74001,0.0,0,0,1
74001,0.0,0,0,29
74001,0.0,0,0,0
74001,0.0,0,0,0
74001,0.0,0,0,3
74001,0.0,0,0,4
74001,0.0,0,0,0
74001,0.0,0,0,51
74001,0.0,0,0,0
74001,0.0,0,0,0
74002,0.0,0,0,4
74002,0.0,0,0,5
74002,0.0,0,0,29
74002,0.0,0,0,0
74002,0.0,0,0,76
74002,0.0,0,0,0
74002,0.0,0,0,2
74002,0.0,0,0,1
74002,0.0,0,0,0
75001,0.0,0,0,0
75001,0.0,0,0,1
75001,0.0,0,0,14
75001,0.0,0,0,27
75001,0.0,0,0,15
75001,0.0013458950201884253,1,5,273
75002,0.0,0,0,43
75002,0.0,0,0,36
75002,0.0,0,0,18
75002,0.0006906077348066298,1,1,61
75002,0.0,0,0,7
75002,0.0,0,0,40
76002,0.0,0,0,225
76003,0.0,0,0,99
76002,0.0,0,0,293
76003,0.0,0,0,17
76003,0.0,0,0,1
76003,0.0,0,0,195
76003,0.0,0,0,90
76001,0.0,0,0,12
76001,0.0,0,0,17
76001,0.0,0,0,67
76001,0.0,0,0,14
76003,0.0,0,0,2
76003,0.0,0,0,3
77001,0.0,0,0,70
77001,0.0,0,0,3
77001,0.0032310177705977385,1,2,16
77001,0.005405405405405406,1,2,21
77001,0.0,0,0,12
77001,0.0,0,0,19
77002,0.0,0,0,34
77002,0.0,0,0,16
77002,0.001366120218579235,1,1,45
77002,0.0,0,0,13
77003,0.0,0,0,23
77003,0.0016672224074691564,1,5,193
77003,0.0,0,0,14
77003,0.0,0,0,20
77003,0.0,0,0,0
78001,0.0,0,0,0
78001,0.0,0,0,10
78001,0.0,0,0,18
78001,0.0,0,0,19
78001,0.0,0,0,25
78001,0.0,0,0,12
78002,0.0,0,0,40
78002,0.0,0,0,9
78002,0.0,0,0,0
78002,0.004768892149669846,1,13,192
78002,0.0,0,0,0
78002,0.0,0,0,2
78002,0.0,0,0,0
78002,0.0,0,0,66
79001,0.0,0,0,15
79001,0.0,0,0,110
79001,0.0,0,0,12
79001,0.0,0,0,67
79001,0.0,0,0,32
79001,0.0,0,0,30
79002,0.0022172949002217295,1,2,34
79002,0.0,0,0,74
79002,0.0006648936170212766,1,1,76
79002,0.0,0,0,16
79002,0.0,0,0,31
80001,0.000508646998982706,1,1,59
80001,0.0,0,0,90
80002,0.0,0,0,7
80002,0.0,0,0,21
80002,0.0,0,0,116
80003,0.0,0,0,17
80003,0.0,0,0,68
80003,0.0,0,0,89
80004,0.0,0,0,124
81001,0.0003652300949598247,1,1,88
81001,0.0,0,0,87
81001,0.0,0,0,0
81002,0.0,0,0,35
81002,0.0,0,0,35
81002,0.0,0,0,26
81003,0.0,0,0,2
81003,0.0,0,0,35
81003,0.0,0,0,95
81004,0.0,0,0,34
81004,0.0010695187165775401,1,2,70
81004,0.0,0,0,61
82001,0.0,0,0,7
82001,0.0,0,0,59
82001,0.0,0,0,62
82002,0.0,0,0,194
82002,0.0016538037486218302,1,3,53
82003,0.0,0,0,39
82003,0.0,0,0,47
82003,0.0,0,0,75
83001,0.0,0,0,20
83001,0.0,0,0,33
83001,0.0,0,0,29
83001,0.0,0,0,82
83002,0.0,0,0,15
83002,0.0,0,0,29
83002,0.0,0,0,126
83002,0.0,0,0,23
83003,0.0,0,0,7
83003,0.0,0,0,12
83003,0.0,0,0,46
83003,0.0,0,0,18
83003,0.0,0,0,0
83003,0.0,0,0,7
83003,0.0,0,0,8
84001,0.0,0,0,82
84001,0.0,0,0,5
84001,0.0,0,0,20
84001,0.0,0,0,2
84001,0.0,0,0,2
84001,0.0,0,0,2
84001,0.0,0,0,10
84002,0.0,0,0,27
84002,0.0,0,0,53
84002,0.0,0,0,49
84002,0.0,0,0,51
84003,0.001893939393939394,1,4,271
84003,0.0,0,0,4
84003,0.0024067388688327317,1,2,86
84003,0.0004187604690117253,1,1,267
84003,0.0,0,0,112
84003,0.0,0,0,51
84003,0.002130681818181818,1,3,121
84003,0.0,0,0,35
84004,0.0,0,0,7
84004,0.0,0,0,2
84004,0.0,0,0,4
84004,0.0,0,0,3
84004,0.0,0,0,11
84004,0.0,0,0,16
84004,0.0,0,0,2
84004,0.0,0,0,22
84005,0.0,0,0,19
84005,0.0,0,0,3
84005,0.0,0,0,4
84005,0.0,0,0,4
84005,0.0,0,0,65
84005,0.0,0,0,5
84005,0.0,0,0,3
84005,0.0,0,0,0
84005,0.0,0,0,0
84006,0.0,0,0,13
84006,0.0,0,0,1
84006,0.0,0,0,1
84006,0.0,0,0,0
84006,0.0,0,0,16
84006,0.0,0,0,37
84006,0.0,0,0,1
85002,0.0009843973027513905,1,40,5146
86001,0.0,0,0,0
86001,0.0,0,0,0
86001,0.0,0,0,0
86001,0.0,0,0,17
86001,0.0,0,0,0
86001,0.0026613439787092482,1,4,82
86001,0.0,0,0,20
86001,0.0,0,0,29
86001,0.0,0,0,9
86001,0.0,0,0,5
86001,0.0,0,0,17
86001,0.0,0,0,36
86001,0.0,0,0,0
86002,0.0,0,0,14
86002,0.0,0,0,27
86002,0.0,0,0,3
86002,0.0,0,0,1
86002,0.0,0,0,5
86002,0.0,0,0,98
86002,0.0,0,0,17
86002,0.0,0,0,12
86002,0.0,0,0,130
86002,0.0,0,0,5
87001,0.0,0,0,6
87001,0.0,0,0,29
87001,0.0,0,0,31
87001,0.0,0,0,24
87001,0.0,0,0,38
87002,0.0,0,0,14
87002,0.0005876591576885406,1,3,401
87002,0.0,0,0,41
87002,0.0,0,0,18
87002,0.0010504201680672268,1,1,31
88001,0.0006493506493506494,1,1,79
88001,0.0,0,0,33
