# Galloway 1994 GMFR replication, census year 1885
# Source: PS Heft 96 (totals only)
# Note: Source gives marital totals but no age breakdown at Kreis level.
# Primary cell: mwf_15_49_direct = Married Female 15-49 (or None where noted), as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1885_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
463,STA,BLUMENTHAL,19224,,,,,,,,,,,,,,,,,,,
464,STA,VERDEN,25257,,,,,,,,,,,,,,,,,,,
465,STA,ACHIM,19973,,,,,,,,,,,,,,,,,,,
466,STA,ROTENBURG,19282,,,,,,,,,,,,,,,,,,,
467,STA,ZEVEN,13824,,,,,,,,,,,,,,,,,,,
468,STA,BREMERVORDE,16760,,,,,,,,,,,,,,,,,,,
469,OSN,MEPPEN,20773,,,,,,,,,,,,,,,,,,,
470,OSN,ASCHENDORF,20172,,,,,,,,,,,,,,,,,,,
471,OSN,HUMMLING,15260,,,,,,,,,,,,,,,,,,,
472,OSN,LINGEN,29736,,,,,,,,,,,,,,,,,,,
473,OSN,BENTHEIM,31266,,,,,,,,,,,,,,,,,,,
474,OSN,BERSENBRUCK,43148,,,,,,,,,,,,,,,,,,,
478,OSN,WITTLAGE,18353,,,,,,,,,,,,,,,,,,,
479,OSN,MELLE,24662,,,,,,,,,,,,,,,,,,,
480,OSN,IBURG,25066,,,,,,,,,,,,,,,,,,,
481,AUR,NORDEN,31244,,,,,,,,,,,,,,,,,,,
485,AUR,WITTMUND,45624,,,,,,,,,,,,,,,,,,,
486,AUR,AURICH,35461,,,,,,,,,,,,,,,,,,,
487,AUR,LEER,47184,,,,,,,,,,,,,,,,,,,
488,AUR,WEENER,20283,,,,,,,,,,,,,,,,,,,
489,MUN,TECKLENBURG,47450,,,,,,,,,,,,,,,,,,,
490,MUN,WARENDORF,28665,,,,,,,,,,,,,,,,,,,
491,MUN,BECKUM,44140,,,,,,,,,,,,,,,,,,,
492,MUN,LUDINGHAUSEN,40531,,,,,,,,,,,,,,,,,,,
496,MUN,STEINFURT,51071,,,,,,,,,,,,,,,,,,,
497,MUN,KOESFELD,42905,,,,,,,,,,,,,,,,,,,
498,MUN,AHAUS,36724,,,,,,,,,,,,,,,,,,,
499,MUN,BORKEN,45638,,,,,,,,,,,,,,,,,,,
501,MUN,RECKLINGHAUSEN,74269,,,,,,,,,,,,,,,,,,,
504,MIN,MINDEN,80086,,,,,,,,,,,,,,,,,,,
505,MIN,LUBBECKE,45957,,,,,,,,,,,,,,,,,,,
506,MIN,HERFORD,79764,,,,,,,,,,,,,,,,,,,
509,MIN,HALLE,28347,,,,,,,,,,,,,,,,,,,
513,MIN,WIEDENBRUCK,43663,,,,,,,,,,,,,,,,,,,
514,MIN,PADERBORN,44750,,,,,,,,,,,,,,,,,,,
515,MIN,BUREN,35735,,,,,,,,,,,,,,,,,,,
516,MIN,WARBURG,31491,,,,,,,,,,,,,,,,,,,
517,MIN,HOXTER,52149,,,,,,,,,,,,,,,,,,,
518,ARN,ARNSBERG,43156,,,,,,,,,,,,,,,,,,,
519,ARN,MESCHEDE,35790,,,,,,,,,,,,,,,,,,,
520,ARN,BRILON,38016,,,,,,,,,,,,,,,,,,,
521,ARN,LIPPSTADT,37735,,,,,,,,,,,,,,,,,,,
522,ARN,SOEST,51530,,,,,,,,,,,,,,,,,,,
523,ARN,HAMM,72100,,,,,,,,,,,,,,,,,,,
537,ARN,GELSENKIRCHEN,95621,,,,,,,,,,,,,,,,,,,
540,ARN,HATTINGEN,55350,,,,,,,,,,,,,,,,,,,
541,ARN,HAGEN,135405,,,,,,,,,,,,,,,,,,,
545,ARN,ISERLOHN,65205,,,,,,,,,,,,,,,,,,,
549,ARN,ALTENA,72575,,,,,,,,,,,,,,,,,,,
550,ARN,OLPE,35718,,,,,,,,,,,,,,,,,,,
551,ARN,SIEGEN,77666,,,,,,,,,,,,,,,,,,,
552,ARN,WITTGENSTEIN,20781,,,,,,,,,,,,,,,,,,,
556,KAS,ESCHWEGE,42454,,,,,,,,,,,,,,,,,,,
557,KAS,FRITZLAR,26302,,,,,,,,,,,,,,,,,,,
558,KAS,HOFGEISMAR,36709,,,,,,,,,,,,,,,,,,,
559,KAS,HOMBERG,21894,,,,,,,,,,,,,,,,,,,
560,KAS,MELSUNGEN,27757,,,,,,,,,,,,,,,,,,,
561,KAS,ROTENBURG,30317,,,,,,,,,,,,,,,,,,,
562,KAS,WITZENHAUSEN,29348,,,,,,,,,,,,,,,,,,,
563,KAS,WOLFHAGEN,23967,,,,,,,,,,,,,,,,,,,
564,KAS,MARBURG,43467,,,,,,,,,,,,,,,,,,,
565,KAS,FRANKENBERG,23742,,,,,,,,,,,,,,,,,,,
566,KAS,KIRCHHAIN,22515,,,,,,,,,,,,,,,,,,,
567,KAS,ZIEGENHAIN,33078,,,,,,,,,,,,,,,,,,,
568,KAS,FULDA,48317,,,,,,,,,,,,,,,,,,,
569,KAS,HERSFELD,32442,,,,,,,,,,,,,,,,,,,
570,KAS,HUNFELD,24130,,,,,,,,,,,,,,,,,,,
571,KAS,HANAU,87195,,,,,,,,,,,,,,,,,,,
574,KAS,GELNHAUSEN,41057,,,,,,,,,,,,,,,,,,,
