# Galloway 1994 GMFR replication, census year 1910
# Source: PS Heft 234:2 (likely Zweiter Theil)
# Note: Direct cell: Married Female 15-44 (1-yr truncation).
# Primary cell: mwf_15_49_direct = Married Female 15-49,
#               as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1910_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
375,SCH,ECKERNFORDE,45977,,,,,,,,,,,,,,,,,,,
376,SCH,EIDERSTEDT,14722,,,,,,,,,,,,,,,,,,,
377,SCH,HUSUM,41090,,,,,,,,,,,,,,,,,,,
378,SCH,TONDERN,59317,,,,,,,,,,,,,,,,,,,
379,SCH,OLDENBURG,43392,,,,,,,,,,,,,,,,,,,
380,SCH,PLON,49278,,,,,,,,,,,,,,,,,,,
386,SCH,RENDSBURG,73108,,,,,,,,,,,,,,,,,,,
387,SCH,NORDERDITHMARSCHEN,40420,,,,,,,,,,,,,,,,,,,
388,SCH,SUDERDITHMARSCHEN,55953,,,,,,,,,,,,,,,,,,,
389,SCH,STEINBURG,83108,,,,,,,,,,,,,,,,,,,
390,SCH,SEGEBERG,44886,,,,,,,,,,,,,,,,,,,
392,SCH,STORMARN,85851,,,,,,,,,,,,,,,,,,,
393,SCH,PINNEBERG,121550,,,,,,,,,,,,,,,,,,,
397,SCH,LAUENBURG,54571,,,,,,,,,,,,,,,,,,,
398,HAN,DIEPHOLZ,23253,,,,,,,,,,,,,,,,,,,
399,HAN,SYKE,44285,,,,,,,,,,,,,,,,,,,
400,HAN,HOYA,27360,,,,,,,,,,,,,,,,,,,
401,HAN,NIENBURG,29569,,,,,,,,,,,,,,,,,,,
402,HAN,STOLZENAU,29503,,,,,,,,,,,,,,,,,,,
403,HAN,SULINGEN,21265,,,,,,,,,,,,,,,,,,,
404,HAN,NEUSTADT,33591,,,,,,,,,,,,,,,,,,,
411,HAN,SPRINGE,31490,,,,,,,,,,,,,,,,,,,
412,HAN,HAMELN,62659,,,,,,,,,,,,,,,,,,,
413,HIL,PEINE,50511,,,,,,,,,,,,,,,,,,,
417,HIL,MARIENBURG,42220,,,,,,,,,,,,,,,,,,,
418,HIL,GRONAU,20607,,,,,,,,,,,,,,,,,,,
419,HIL,ALFELD,28715,,,,,,,,,,,,,,,,,,,
420,HIL,GOSLAR,52248,,,,,,,,,,,,,,,,,,,
421,HIL,OSTERODE AM HARZ,44117,,,,,,,,,,,,,,,,,,,
422,HIL,DUDERSTADT,26307,,,,,,,,,,,,,,,,,,,
426,HIL,MUNDEN,26697,,,,,,,,,,,,,,,,,,,
427,HIL,USLAR,20712,,,,,,,,,,,,,,,,,,,
428,HIL,EINBECK,26730,,,,,,,,,,,,,,,,,,,
429,HIL,NORTHEIM,32408,,,,,,,,,,,,,,,,,,,
430,HIL,ZELLERFELD,28860,,,,,,,,,,,,,,,,,,,
431,HIL,ILFELD,16656,,,,,,,,,,,,,,,,,,,
435,LUN,GIFHORN,37208,,,,,,,,,,,,,,,,,,,
436,LUN,BURGDORF,49777,,,,,,,,,,,,,,,,,,,
437,LUN,ISENHAGEN,20358,,,,,,,,,,,,,,,,,,,
438,LUN,FALLINGBOSTEL,30762,,,,,,,,,,,,,,,,,,,
439,LUN,SOLTAU,22517,,,,,,,,,,,,,,,,,,,
440,LUN,ULZEN,52216,,,,,,,,,,,,,,,,,,,
441,LUN,LUCHOW,29225,,,,,,,,,,,,,,,,,,,
442,LUN,DANNENBERG,13560,,,,,,,,,,,,,,,,,,,
443,LUN,BLECKEDE,20053,,,,,,,,,,,,,,,,,,,
447,LUN,WINSEN,30039,,,,,,,,,,,,,,,,,,,
451,STA,JORK,21050,,,,,,,,,,,,,,,,,,,
452,STA,STADE,42712,,,,,,,,,,,,,,,,,,,
455,STA,KEHDINGEN,19741,,,,,,,,,,,,,,,,,,,
456,STA,NEUHAUS,29383,,,,,,,,,,,,,,,,,,,
457,STA,HADELN,16662,,,,,,,,,,,,,,,,,,,
458,STA,LEHE,58685,,,,,,,,,,,,,,,,,,,
459,STA,GEESTEMUNDE,51002,,,,,,,,,,,,,,,,,,,
462,STA,OSTERHOLZ,31284,,,,,,,,,,,,,,,,,,,
463,STA,BLUMENTHAL,39535,,,,,,,,,,,,,,,,,,,
464,STA,VERDEN,27638,,,,,,,,,,,,,,,,,,,
465,STA,ACHIM,28555,,,,,,,,,,,,,,,,,,,
466,STA,ROTENBURG,25425,,,,,,,,,,,,,,,,,,,
467,STA,ZEVEN,17825,,,,,,,,,,,,,,,,,,,
468,STA,BREMERVORDE,19858,,,,,,,,,,,,,,,,,,,
469,OSN,MEPPEN,26024,,,,,,,,,,,,,,,,,,,
470,OSN,ASCHENDORF,23679,,,,,,,,,,,,,,,,,,,
471,OSN,HUMMLING,18231,,,,,,,,,,,,,,,,,,,
472,OSN,LINGEN,36646,,,,,,,,,,,,,,,,,,,
473,OSN,BENTHEIM,42538,,,,,,,,,,,,,,,,,,,
474,OSN,BERSENBRUCK,49394,,,,,,,,,,,,,,,,,,,
478,OSN,WITTLAGE,18613,,,,,,,,,,,,,,,,,,,
479,OSN,MELLE,27091,,,,,,,,,,,,,,,,,,,
480,OSN,IBURG,30799,,,,,,,,,,,,,,,,,,,
481,AUR,NORDEN,36600,,,,,,,,,,,,,,,,,,,
