# Galloway 1994 GMFR replication, census year 1895
# Source: PS Heft 148:1
# Note: Direct cell: Married Female 15-49.
# Primary cell: mwf_15_49_direct = Married Female 15-49 (or 15_49 where noted), as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1895_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
296,OPP,NEISSE,100286,,,,,,,,,,,,,,,,,,,
299,OPP,GROTTKAU,42065,,,,,,,,,,,,,,,,,,,
300,MAG,OSTERBURG,45298,,,,,,,,,,,,,,,,,,,
301,MAG,SALZWEDEL,53893,,,,,,,,,,,,,,,,,,,
302,MAG,GARDELEGEN,55710,,,,,,,,,,,,,,,,,,,
303,MAG,STENDAL,67895,,,,,,,,,,,,,,,,,,,
306,MAG,JERICHOW I,76856,,,,,,,,,,,,,,,,,,,
307,MAG,JERICHOW II,57269,,,,,,,,,,,,,,,,,,,
308,MAG,KALBE,102736,,,,,,,,,,,,,,,,,,,
309,MAG,WANZLEBEN,80132,,,,,,,,,,,,,,,,,,,
313,MAG,WOLMIRSTEDT,52415,,,,,,,,,,,,,,,,,,,
314,MAG,NEUHALDENSLEBEN,63057,,,,,,,,,,,,,,,,,,,
315,MAG,OSCHERSLEBEN,57856,,,,,,,,,,,,,,,,,,,
316,MAG,ASCHERSLEBEN,84096,,,,,,,,,,,,,,,,,,,
325,MAG,WERNIGERODE,29418,,,,,,,,,,,,,,,,,,,
326,MER,LIEBENWERDA,51255,,,,,,,,,,,,,,,,,,,
327,MER,TORGAU,56715,,,,,,,,,,,,,,,,,,,
328,MER,SCHWEINITZ,40208,,,,,,,,,,,,,,,,,,,
329,MER,WITTENBERG,57673,,,,,,,,,,,,,,,,,,,
330,MER,BITTERFELD,61776,,,,,,,,,,,,,,,,,,,
331,MER,SAALKREIS,86707,,,,,,,,,,,,,,,,,,,
335,MER,DELITZSCH,65468,,,,,,,,,,,,,,,,,,,
336,MER,MANSFELDER GEBIRGSKR,65469,,,,,,,,,,,,,,,,,,,
338,MER,MANSFELDER SEEKREIS,94667,,,,,,,,,,,,,,,,,,,
339,MER,SANGERHAUSEN,71899,,,,,,,,,,,,,,,,,,,
340,MER,ECKARTSBERGA,39807,,,,,,,,,,,,,,,,,,,
341,MER,QUERFURT,59465,,,,,,,,,,,,,,,,,,,
342,MER,MERSEBURG,78999,,,,,,,,,,,,,,,,,,,
343,MER,WEISSENFELS,93552,,,,,,,,,,,,,,,,,,,
346,MER,NAUMBURG,35067,,,,,,,,,,,,,,,,,,,
349,MER,ZEITZ,54228,,,,,,,,,,,,,,,,,,,
355,ERF,HOHENSTEIN,43365,,,,,,,,,,,,,,,,,,,
356,ERF,WORBIS,41415,,,,,,,,,,,,,,,,,,,
357,ERF,HEILIGENSTADT,39312,,,,,,,,,,,,,,,,,,,
361,ERF,LANGENSALZA,37046,,,,,,,,,,,,,,,,,,,
362,ERF,WEISSENSEE,24522,,,,,,,,,,,,,,,,,,,
366,ERF,ZIEGENRUCK,16286,,,,,,,,,,,,,,,,,,,
367,ERF,SCHLEUSINGEN,45531,,,,,,,,,,,,,,,,,,,
368,SCH,HADERSLEBEN,55453,,,,,,,,,,,,,,,,,,,
369,SCH,APENRADE,27823,,,,,,,,,,,,,,,,,,,
370,SCH,SONDERBURG,32019,,,,,,,,,,,,,,,,,,,
374,SCH,SCHLESWIG,64991,,,,,,,,,,,,,,,,,,,
375,SCH,ECKERNFORDE,41299,,,,,,,,,,,,,,,,,,,
376,SCH,EIDERSTEDT,15781,,,,,,,,,,,,,,,,,,,
377,SCH,HUSUM,37060,,,,,,,,,,,,,,,,,,,
378,SCH,TONDERN,55458,,,,,,,,,,,,,,,,,,,
379,SCH,OLDENBURG,43929,,,,,,,,,,,,,,,,,,,
380,SCH,PLON,61680,,,,,,,,,,,,,,,,,,,
386,SCH,RENDSBURG,59588,,,,,,,,,,,,,,,,,,,
387,SCH,NORDERDITHMARSCHEN,36984,,,,,,,,,,,,,,,,,,,
388,SCH,SUDERDITHMARSCHEN,47278,,,,,,,,,,,,,,,,,,,
389,SCH,STEINBURG,72838,,,,,,,,,,,,,,,,,,,
390,SCH,SEGEBERG,39394,,,,,,,,,,,,,,,,,,,
392,SCH,STORMARN,85329,,,,,,,,,,,,,,,,,,,
393,SCH,PINNEBERG,85886,,,,,,,,,,,,,,,,,,,
397,SCH,LAUENBURG,50831,,,,,,,,,,,,,,,,,,,
398,HAN,DIEPHOLZ,21481,,,,,,,,,,,,,,,,,,,
399,HAN,SYKE,37112,,,,,,,,,,,,,,,,,,,
400,HAN,HOYA,25878,,,,,,,,,,,,,,,,,,,
401,HAN,NIENBURG,26450,,,,,,,,,,,,,,,,,,,
402,HAN,STOLZENAU,27077,,,,,,,,,,,,,,,,,,,
403,HAN,SULINGEN,17811,,,,,,,,,,,,,,,,,,,
404,HAN,NEUSTADT,29208,,,,,,,,,,,,,,,,,,,
411,HAN,SPRINGE,31065,,,,,,,,,,,,,,,,,,,
412,HAN,HAMELN,55647,,,,,,,,,,,,,,,,,,,
413,HIL,PEINE,40986,,,,,,,,,,,,,,,,,,,
417,HIL,MARIENBURG,38815,,,,,,,,,,,,,,,,,,,
418,HIL,GRONAU,19191,,,,,,,,,,,,,,,,,,,
419,HIL,ALFELD,23280,,,,,,,,,,,,,,,,,,,
420,HIL,GOSLAR,46991,,,,,,,,,,,,,,,,,,,
421,HIL,OSTERODE AM HARZ,39963,,,,,,,,,,,,,,,,,,,
422,HIL,DUDERSTADT,25635,,,,,,,,,,,,,,,,,,,
426,HIL,MUNDEN,23205,,,,,,,,,,,,,,,,,,,
427,HIL,USLAR,17805,,,,,,,,,,,,,,,,,,,
428,HIL,EINBECK,25724,,,,,,,,,,,,,,,,,,,
429,HIL,NORTHEIM,30566,,,,,,,,,,,,,,,,,,,
430,HIL,ZELLERFELD,29089,,,,,,,,,,,,,,,,,,,
431,HIL,ILFELD,15119,,,,,,,,,,,,,,,,,,,
435,LUN,GIFHORN,32310,,,,,,,,,,,,,,,,,,,
436,LUN,BURGDORF,37911,,,,,,,,,,,,,,,,,,,
437,LUN,ISENHAGEN,17047,,,,,,,,,,,,,,,,,,,
438,LUN,FALLINGBOSTEL,27106,,,,,,,,,,,,,,,,,,,
439,LUN,SOLTAU,18114,,,,,,,,,,,,,,,,,,,
440,LUN,ULZEN,46355,,,,,,,,,,,,,,,,,,,
441,LUN,LUCHOW,29370,,,,,,,,,,,,,,,,,,,
442,LUN,DANNENBERG,13990,,,,,,,,,,,,,,,,,,,
443,LUN,BLECKEDE,21222,,,,,,,,,,,,,,,,,,,
447,LUN,WINSEN,25147,,,,,,,,,,,,,,,,,,,
451,STA,JORK,20927,,,,,,,,,,,,,,,,,,,
452,STA,STADE,36498,,,,,,,,,,,,,,,,,,,
455,STA,KEHDINGEN,20051,,,,,,,,,,,,,,,,,,,
456,STA,NEUHAUS,29166,,,,,,,,,,,,,,,,,,,
457,STA,HADELN,16239,,,,,,,,,,,,,,,,,,,
458,STA,LEHE,37433,,,,,,,,,,,,,,,,,,,
459,STA,GEESTEMUNDE,38394,,,,,,,,,,,,,,,,,,,
462,STA,OSTERHOLZ,28632,,,,,,,,,,,,,,,,,,,
463,STA,BLUMENTHAL,25711,,,,,,,,,,,,,,,,,,,
464,STA,VERDEN,26062,,,,,,,,,,,,,,,,,,,
465,STA,ACHIM,22467,,,,,,,,,,,,,,,,,,,
466,STA,ROTENBURG,20125,,,,,,,,,,,,,,,,,,,
467,STA,ZEVEN,14433,,,,,,,,,,,,,,,,,,,
468,STA,BREMERVORDE,17327,,,,,,,,,,,,,,,,,,,
469,OSN,MEPPEN,21964,,,,,,,,,,,,,,,,,,,
470,OSN,ASCHENDORF,21022,,,,,,,,,,,,,,,,,,,
471,OSN,HUMMLING,15768,,,,,,,,,,,,,,,,,,,
472,OSN,LINGEN,31562,,,,,,,,,,,,,,,,,,,
473,OSN,BENTHEIM,33931,,,,,,,,,,,,,,,,,,,
474,OSN,BERSENBRUCK,44681,,,,,,,,,,,,,,,,,,,
478,OSN,WITTLAGE,18465,,,,,,,,,,,,,,,,,,,
479,OSN,MELLE,25334,,,,,,,,,,,,,,,,,,,
480,OSN,IBURG,25517,,,,,,,,,,,,,,,,,,,
481,AUR,NORDEN,34574,,,,,,,,,,,,,,,,,,,
485,AUR,WITTMUND,51959,,,,,,,,,,,,,,,,,,,
486,AUR,AURICH,37649,,,,,,,,,,,,,,,,,,,
487,AUR,LEER,50313,,,,,,,,,,,,,,,,,,,
488,AUR,WEENER,20098,,,,,,,,,,,,,,,,,,,
489,MUN,TECKLENBURG,51237,,,,,,,,,,,,,,,,,,,
490,MUN,WARENDORF,29689,,,,,,,,,,,,,,,,,,,
491,MUN,BECKUM,46939,,,,,,,,,,,,,,,,,,,
492,MUN,LUDINGHAUSEN,41784,,,,,,,,,,,,,,,,,,,
496,MUN,STEINFURT,59963,,,,,,,,,,,,,,,,,,,
497,MUN,KOESFELD,46028,,,,,,,,,,,,,,,,,,,
498,MUN,AHAUS,41986,,,,,,,,,,,,,,,,,,,
499,MUN,BORKEN,52574,,,,,,,,,,,,,,,,,,,
501,MUN,RECKLINGHAUSEN,123200,,,,,,,,,,,,,,,,,,,
504,MIN,MINDEN,92424,,,,,,,,,,,,,,,,,,,
505,MIN,LUBBECKE,47742,,,,,,,,,,,,,,,,,,,
506,MIN,HERFORD,94553,,,,,,,,,,,,,,,,,,,
